2019-12-19 13:25:52,131 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.resson:Ramas_Dashboard_Test:0.0.1-SNAPSHOT @ F:\Automation_Projects\Ramas_Dashboard_Test\pom.xml.
2019-12-19 13:25:53,021 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Ramas_Dashboard_Test/src/main/java
2019-12-19 13:25:53,022 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Ramas_Dashboard_Test/src/main/resources
2019-12-19 13:25:53,023 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Ramas_Dashboard_Test/src/test/java
2019-12-19 13:25:53,023 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Ramas_Dashboard_Test/src/test/resources
2019-12-19 13:25:53,977 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-19 13:25:53,985 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-19 13:25:53,986 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-19 13:25:53,991 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-12-19 13:31:00,309 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.resson:Ramas_Dashboard_Test:0.0.1-SNAPSHOT @ F:\Automation_Projects\Ramas_Dashboard_Test\pom.xml.
2019-12-19 13:31:01,494 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-12-19 13:31:01,499 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
